phenotype	geneset	n_genes	obs	obs_lo	obs_hi	null_mean	null_lo	null_hi	ratio	ratio_lo	ratio_hi	emp_p
generalized_gge	circadian_flank10	23	9.586	6.433	13.383	5.572	4.051	7.599	1.720	1.154	2.402	8.999e-04
generalized_gge	circadian_flank20	23	9.771	6.590	13.417	6.049	4.528	8.038	1.615	1.089	2.218	7.999e-04
generalized_gge	circadian_flank50	23	10.695	7.354	14.288	7.000	5.389	9.148	1.528	1.050	2.041	1.700e-03
generalized_gge	circadian_flank100	23	11.326	7.829	15.203	8.054	6.399	10.207	1.406	0.972	1.888	4.200e-03
